seq,expert_bytes,tensor_base,expert_idx,tensor
341,4030464,0x0,115,blk.16.ffn_up_exps.weight
342,4030464,0x0,130,blk.16.ffn_up_exps.weight
343,4030464,0x0,146,blk.16.ffn_up_exps.weight
344,4030464,0x0,187,blk.16.ffn_up_exps.weight
345,4030464,0x0,26,blk.16.ffn_gate_exps.weight
346,4030464,0x0,64,blk.16.ffn_gate_exps.weight
347,4030464,0x0,65,blk.16.ffn_gate_exps.weight
348,4030464,0x0,108,blk.16.ffn_gate_exps.weight
349,4030464,0x0,115,blk.16.ffn_gate_exps.weight
350,4030464,0x0,130,blk.16.ffn_gate_exps.weight
351,4030464,0x0,146,blk.16.ffn_gate_exps.weight
352,4030464,0x0,187,blk.16.ffn_gate_exps.weight
353,4816896,0x0,26,blk.16.ffn_down_exps.weight
354,4816896,0x0,64,blk.16.ffn_down_exps.weight
355,4816896,0x0,65,blk.16.ffn_down_exps.weight
356,4816896,0x0,108,blk.16.ffn_down_exps.weight
357,4816896,0x0,115,blk.16.ffn_down_exps.weight
358,4816896,0x0,130,blk.16.ffn_down_exps.weight
359,4816896,0x0,146,blk.16.ffn_down_exps.weight
360,4816896,0x0,187,blk.16.ffn_down_exps.weight
361,4030464,0x0,31,blk.17.ffn_up_exps.weight
362,4030464,0x0,45,blk.17.ffn_up_exps.weight
363,4030464,0x0,126,blk.17.ffn_up_exps.weight
364,4030464,0x0,139,blk.17.ffn_up_exps.weight
365,4030464,0x0,140,blk.17.ffn_up_exps.weight
366,4030464,0x0,147,blk.17.ffn_up_exps.weight
367,4030464,0x0,154,blk.17.ffn_up_exps.weight
368,4030464,0x0,250,blk.17.ffn_up_exps.weight
369,4030464,0x0,31,blk.17.ffn_gate_exps.weight
370,4030464,0x0,45,blk.17.ffn_gate_exps.weight
371,4030464,0x0,126,blk.17.ffn_gate_exps.weight
372,4030464,0x0,139,blk.17.ffn_gate_exps.weight
373,4030464,0x0,140,blk.17.ffn_gate_exps.weight
374,4030464,0x0,147,blk.17.ffn_gate_exps.weight
375,4030464,0x0,154,blk.17.ffn_gate_exps.weight
