# fastllm_disk_moe_route_profile_v1
# merge_runs=2405 routed_refs=17571
layer	expert	hits	bytes_per_hit	total_bytes
17	181	8	13369344	106954752
17	222	8	13369344	106954752
18	36	8	13369344	106954752
19	69	8	13369344	106954752
19	116	8	13369344	106954752
19	128	8	13369344	106954752
19	186	8	13369344	106954752
20	61	8	13369344	106954752
20	86	8	13369344	106954752
20	128	8	13369344	106954752
20	244	8	13369344	106954752
21	25	8	13369344	106954752
21	105	8	13369344	106954752
21	142	8	13369344	106954752
21	240	8	13369344	106954752
22	181	8	13369344	106954752
22	205	8	13369344	106954752
23	131	8	13369344	106954752
23	199	8	13369344	106954752
23	207	8	13369344	106954752
24	87	8	13369344	106954752
24	135	8	13369344	106954752
24	171	8	13369344	106954752
24	203	8	13369344	106954752
25	65	8	13369344	106954752
25	216	8	13369344	106954752
27	199	8	13369344	106954752
28	6	8	13369344	106954752
28	90	8	13369344	106954752
29	181	8	13369344	106954752
30	52	8	13369344	106954752
31	75	8	13369344	106954752
31	83	8	13369344	106954752
31	130	8	13369344	106954752
31	189	8	13369344	106954752
31	248	8	13369344	106954752
32	17	8	13369344	106954752
32	53	8	13369344	106954752
32	101	8	13369344	106954752
33	15	8	13369344	106954752
34	10	8	13369344	106954752
34	51	8	13369344	106954752
34	76	8	13369344	106954752
34	90	8	13369344	106954752
34	196	8	13369344	106954752
36	57	8	13369344	106954752
36	128	8	13369344	106954752
36	211	8	13369344	106954752
37	81	8	13369344	106954752
37	108	8	13369344	106954752
38	17	8	13369344	106954752
38	48	8	13369344	106954752
38	74	8	13369344	106954752
39	185	8	13369344	106954752
40	16	8	13369344	106954752
40	33	8	13369344	106954752
41	133	8	13369344	106954752
41	134	8	13369344	106954752
42	20	8	13369344	106954752
42	198	8	13369344	106954752
42	210	8	13369344	106954752
6	44	7	13369344	93585408
6	45	7	13369344	93585408
6	94	7	13369344	93585408
6	233	7	13369344	93585408
6	236	7	13369344	93585408
6	243	7	13369344	93585408
7	66	7	13369344	93585408
7	85	7	13369344	93585408
8	107	7	13369344	93585408
8	124	7	13369344	93585408
8	194	7	13369344	93585408
8	200	7	13369344	93585408
9	15	7	13369344	93585408
9	128	7	13369344	93585408
9	232	7	13369344	93585408
10	11	7	13369344	93585408
10	237	7	13369344	93585408
10	245	7	13369344	93585408
11	159	7	13369344	93585408
11	178	7	13369344	93585408
12	7	7	13369344	93585408
12	169	7	13369344	93585408
13	65	7	13369344	93585408
13	228	7	13369344	93585408
14	5	7	13369344	93585408
14	10	7	13369344	93585408
14	149	7	13369344	93585408
15	19	7	13369344	93585408
