seq,expert_bytes,tensor_base,expert_idx,tensor
388,4030464,0x0,185,blk.18.ffn_up_exps.weight
389,4030464,0x0,199,blk.18.ffn_up_exps.weight
391,4030464,0x0,225,blk.18.ffn_up_exps.weight
392,4030464,0x0,236,blk.18.ffn_up_exps.weight
395,4030464,0x0,114,blk.18.ffn_gate_exps.weight
396,4030464,0x0,185,blk.18.ffn_gate_exps.weight
397,4030464,0x0,199,blk.18.ffn_gate_exps.weight
399,4030464,0x0,225,blk.18.ffn_gate_exps.weight
400,4030464,0x0,236,blk.18.ffn_gate_exps.weight
403,4816896,0x0,114,blk.18.ffn_down_exps.weight
404,4816896,0x0,185,blk.18.ffn_down_exps.weight
405,4816896,0x0,199,blk.18.ffn_down_exps.weight
407,4816896,0x0,225,blk.18.ffn_down_exps.weight
408,4816896,0x0,236,blk.18.ffn_down_exps.weight
409,4030464,0x0,31,blk.19.ffn_up_exps.weight
410,4030464,0x0,42,blk.19.ffn_up_exps.weight
411,4030464,0x0,49,blk.19.ffn_up_exps.weight
414,4030464,0x0,80,blk.19.ffn_up_exps.weight
415,4030464,0x0,165,blk.19.ffn_up_exps.weight
417,4030464,0x0,31,blk.19.ffn_gate_exps.weight
418,4030464,0x0,42,blk.19.ffn_gate_exps.weight
419,4030464,0x0,49,blk.19.ffn_gate_exps.weight
422,4030464,0x0,80,blk.19.ffn_gate_exps.weight
423,4030464,0x0,165,blk.19.ffn_gate_exps.weight
425,4816896,0x0,31,blk.19.ffn_down_exps.weight
426,4816896,0x0,42,blk.19.ffn_down_exps.weight
427,4816896,0x0,49,blk.19.ffn_down_exps.weight
430,4816896,0x0,80,blk.19.ffn_down_exps.weight
431,4816896,0x0,165,blk.19.ffn_down_exps.weight
433,4030464,0x0,25,blk.20.ffn_up_exps.weight
434,4030464,0x0,78,blk.20.ffn_up_exps.weight
435,4030464,0x0,91,blk.20.ffn_up_exps.weight
438,4030464,0x0,198,blk.20.ffn_up_exps.weight
