scope,prompt,top_k,kind,calls,predictable_call_ratio,actual_events,recall,precision,byte_recall,predicted_to_actual_byte_ratio
fold,dev_japan_factual,16,gate,5101,1.0,40808,0.27891589884336404,0.13945794942168202,0.278372420640814,2.0
fold,dev_japan_factual,16,up,5101,1.0,40808,0.27891589884336404,0.13945794942168202,0.2781872021065283,2.0
fold,dev_linear_equation,16,all,5885,1.0,47080,0.10429056924384027,0.052145284621920134,0.10427032668860209,2.0
fold,dev_linear_equation,16,down,1803,1.0,14424,0.10232945091514144,0.05116472545757072,0.10411820731508868,2.0
fold,dev_linear_equation,16,gate,2041,1.0,16328,0.10515678588926997,0.05257839294463498,0.10315943243157258,2.0
fold,dev_linear_equation,16,up,2041,1.0,16328,0.10515678588926997,0.05257839294463498,0.10565348237317283,2.0
fold,dev_mixed_summary,16,all,9345,1.0,74760,0.14551899411449973,0.07275949705724986,0.14568098191931403,2.0
fold,dev_mixed_summary,16,down,2863,1.0,22904,0.14613168005588542,0.07306584002794271,0.14659651935933063,2.0
fold,dev_mixed_summary,16,gate,3241,1.0,25928,0.14524838012958963,0.07262419006479481,0.14492576984980332,2.0
fold,dev_mixed_summary,16,up,3241,1.0,25928,0.14524838012958963,0.07262419006479481,0.14540088805458287,2.0
fold,dev_photosynthesis_factual,16,all,16265,1.0,130120,0.1213572087304027,0.06067860436520135,0.12127883468220964,2.0
fold,dev_photosynthesis_factual,16,down,4983,1.0,39864,0.11918021272325909,0.05959010636162954,0.12037628710659476,2.0
fold,dev_photosynthesis_factual,16,gate,5641,1.0,45128,0.12231873781244461,0.061159368906222304,0.12095527152871839,2.0
