prompt,predictor,horizon,budget,bundle,samples,targets,predicted,hits,recall,precision,full_step_pct,pred_over_actual_bytes,target_gib,predicted_gib,useful_gib,waste_gib
dev_france_regression,cooc,2,8,upgate,1798,14384,14384,5310,0.3692,0.3692,0.0000,1.0000,136.5786,136.5786,50.1771,86.4016
dev_france_regression,cooc,2,8,down,1798,14384,14384,5310,0.3692,0.3692,0.0000,1.0000,91.7853,91.7853,33.9229,57.8624
dev_france_regression,cooc,2,12,all,1798,14384,21576,6301,0.4381,0.2920,0.0039,1.5000,228.3639,342.5458,99.8974,242.6484
dev_france_regression,cooc,2,12,upgate,1798,14384,21576,6301,0.4381,0.2920,0.0039,1.5000,136.5786,204.8679,59.5746,145.2934
dev_france_regression,cooc,2,12,down,1798,14384,21576,6301,0.4381,0.2920,0.0039,1.5000,91.7853,137.6779,40.3228,97.3551
dev_france_regression,cooc,2,16,all,1798,14384,28768,6959,0.4838,0.2419,0.0072,2.0000,228.3639,456.7278,110.3603,346.3674
dev_france_regression,cooc,2,16,upgate,1798,14384,28768,6959,0.4838,0.2419,0.0072,2.0000,136.5786,273.1572,65.8239,207.3333
dev_france_regression,cooc,2,16,down,1798,14384,28768,6959,0.4838,0.2419,0.0072,2.0000,91.7853,183.5706,44.5365,139.0341
dev_france_regression,cooc,2,24,all,1798,14384,43152,7994,0.5558,0.1853,0.0234,3.0000,228.3639,685.0917,126.7768,558.3148
dev_france_regression,cooc,2,24,upgate,1798,14384,43152,7994,0.5558,0.1853,0.0234,3.0000,136.5786,409.7358,75.6418,334.0941
dev_france_regression,cooc,2,24,down,1798,14384,43152,7994,0.5558,0.1853,0.0234,3.0000,91.7853,275.3558,51.1351,224.2208
dev_france_regression,cooc,2,32,all,1798,14384,57536,8732,0.6071,0.1518,0.0400,4.0000,228.3639,913.4556,138.5109,774.9446
dev_france_regression,cooc,2,32,upgate,1798,14384,57536,8732,0.6071,0.1518,0.0400,4.0000,136.5786,546.3145,82.6619,463.6526
dev_france_regression,cooc,2,32,down,1798,14384,57536,8732,0.6071,0.1518,0.0400,4.0000,91.7853,367.1411,55.8491,311.2920
dev_france_regression,cooc,2,48,all,1798,14384,86304,9759,0.6785,0.1131,0.0790,6.0000,228.3639,1370.1833,154.8113,1215.3720
dev_france_regression,cooc,2,48,upgate,1798,14384,86304,9759,0.6785,0.1131,0.0790,6.0000,136.5786,819.4717,92.4285,727.0432
dev_france_regression,cooc,2,48,down,1798,14384,86304,9759,0.6785,0.1131,0.0790,6.0000,91.7853,550.7117,62.3828,488.3288
dev_france_regression,cooc,2,64,all,1798,14384,115072,10487,0.7291,0.0911,0.1301,8.0000,228.3639,1826.9111,166.3726,1660.5385
dev_france_regression,cooc,2,64,upgate,1798,14384,115072,10487,0.7291,0.0911,0.1301,8.0000,136.5786,1092.6289,99.3524,993.2765
dev_france_regression,cooc,2,64,down,1798,14384,115072,10487,0.7291,0.0911,0.1301,8.0000,91.7853,734.2822,67.0202,667.2621
dev_france_regression,previous_same_layer,2,8,all,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,228.3639,220.9973,83.6089,137.3885
dev_france_regression,previous_same_layer,2,8,upgate,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,136.5786,132.1729,50.2933,81.8796
dev_france_regression,previous_same_layer,2,8,down,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,91.7853,88.8245,33.3156,55.5089
dev_france_regression,previous_same_layer,2,12,all,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,228.3639,220.9973,83.6089,137.3885
dev_france_regression,previous_same_layer,2,12,upgate,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,136.5786,132.1729,50.2933,81.8796
dev_france_regression,previous_same_layer,2,12,down,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,91.7853,88.8245,33.3156,55.5089
dev_france_regression,previous_same_layer,2,16,all,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,228.3639,220.9973,83.6089,137.3885
dev_france_regression,previous_same_layer,2,16,upgate,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,136.5786,132.1729,50.2933,81.8796
dev_france_regression,previous_same_layer,2,16,down,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,91.7853,88.8245,33.3156,55.5089
dev_france_regression,previous_same_layer,2,24,all,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,228.3639,220.9973,83.6089,137.3885
dev_france_regression,previous_same_layer,2,24,upgate,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,136.5786,132.1729,50.2933,81.8796
dev_france_regression,previous_same_layer,2,24,down,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,91.7853,88.8245,33.3156,55.5089
dev_france_regression,previous_same_layer,2,32,all,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,228.3639,220.9973,83.6089,137.3885
dev_france_regression,previous_same_layer,2,32,upgate,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,136.5786,132.1729,50.2933,81.8796
dev_france_regression,previous_same_layer,2,32,down,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,91.7853,88.8245,33.3156,55.5089
dev_france_regression,previous_same_layer,2,48,all,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,228.3639,220.9973,83.6089,137.3885
dev_france_regression,previous_same_layer,2,48,upgate,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,136.5786,132.1729,50.2933,81.8796
dev_france_regression,previous_same_layer,2,48,down,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,91.7853,88.8245,33.3156,55.5089
dev_france_regression,previous_same_layer,2,64,all,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,228.3639,220.9973,83.6089,137.3885
dev_france_regression,previous_same_layer,2,64,upgate,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,136.5786,132.1729,50.2933,81.8796
dev_france_regression,previous_same_layer,2,64,down,1798,14384,13920,5286,0.3675,0.3797,0.0017,0.9677,91.7853,88.8245,33.3156,55.5089
dev_france_regression,recent_lfu,2,8,all,1798,14384,13920,5263,0.3659,0.3781,0.0000,0.9677,228.3639,220.9973,83.2837,137.7136
dev_france_regression,recent_lfu,2,8,upgate,1798,14384,13920,5263,0.3659,0.3781,0.0000,0.9677,136.5786,132.1729,50.0218,82.1511
dev_france_regression,recent_lfu,2,8,down,1798,14384,13920,5263,0.3659,0.3781,0.0000,0.9677,91.7853,88.8245,33.2620,55.5625
dev_france_regression,recent_lfu,2,12,all,1798,14384,20640,6171,0.4290,0.2990,0.0022,1.4349,228.3639,327.6879,97.6894,229.9985
dev_france_regression,recent_lfu,2,12,upgate,1798,14384,20640,6171,0.4290,0.2990,0.0022,1.4349,136.5786,195.9786,58.6154,137.3633
