tensor,expert,model_offset,nbytes,shape,n_expert,residual_ms,touches
blk.2.ffn_down_exps.weight,159,9043122432,4456448,2048x4096x256,256,2.235000,5
blk.10.ffn_down_exps.weight,135,37598455040,4456448,2048x4096x256,256,2.234000,6
blk.0.ffn_down_exps.weight,108,1653496576,4456448,2048x4096x256,256,2.233000,2
blk.2.ffn_up_exps.weight,11,10665269504,4456448,4096x2048x256,256,2.231000,1
blk.2.ffn_up_exps.weight,17,10692008192,4456448,4096x2048x256,256,2.231000,1
blk.2.ffn_up_exps.weight,241,11690252544,4456448,4096x2048x256,256,2.231000,1
blk.15.ffn_down_exps.weight,32,55040771840,4456448,2048x4096x256,256,2.230000,10
blk.2.ffn_down_exps.weight,92,8744540416,4456448,2048x4096x256,256,2.229000,3
blk.6.ffn_up_exps.weight,179,25746647296,4456448,4096x2048x256,256,2.229000,6
blk.19.ffn_up_exps.weight,36,71669891840,4456448,4096x2048x256,256,2.228000,3
blk.17.ffn_up_exps.weight,165,65079977216,4456448,4096x2048x256,256,2.224000,2
blk.17.ffn_up_exps.weight,174,65120085248,4456448,4096x2048x256,256,2.221000,2
blk.1.ffn_up_exps.weight,117,7541492992,4456448,4096x2048x256,256,2.220000,5
blk.12.ffn_up_exps.weight,130,47022670592,4456448,4096x2048x256,256,2.220000,5
blk.1.ffn_up_exps.weight,182,7831162112,4456448,4096x2048x256,256,2.216000,9
blk.1.ffn_up_exps.weight,38,7189433600,4456448,4096x2048x256,256,2.216000,9
blk.10.ffn_up_exps.weight,94,39697442048,4456448,4096x2048x256,256,2.216000,12
blk.11.ffn_down_exps.weight,18,40648788736,4456448,2048x4096x256,256,2.216000,1
blk.31.ffn_up_exps.weight,175,115278116608,4456448,4096x2048x256,256,2.212000,1
blk.2.ffn_up_exps.weight,65,10905917696,4456448,4096x2048x256,256,2.210000,5
blk.6.ffn_down_exps.weight,239,23732332800,4456448,2048x4096x256,256,2.208000,8
blk.0.ffn_down_exps.weight,248,2277399296,4456448,2048x4096x256,256,2.206000,8
blk.13.ffn_up_exps.weight,185,50839513344,4456448,4096x2048x256,256,2.206000,2
blk.8.ffn_down_exps.weight,4,29849863936,4456448,2048x4096x256,256,2.205000,1
blk.0.ffn_down_exps.weight,0,1172200192,4456448,2048x4096x256,256,2.203000,1
blk.0.ffn_down_exps.weight,135,1773820672,4456448,2048x4096x256,256,2.203000,1
blk.0.ffn_down_exps.weight,178,1965447936,4456448,2048x4096x256,256,2.203000,1
blk.3.ffn_down_exps.weight,118,12435247872,4456448,2048x4096x256,256,2.202000,1
blk.3.ffn_down_exps.weight,220,12889805568,4456448,2048x4096x256,256,2.202000,1
blk.27.ffn_down_exps.weight,177,98675735296,4456448,2048x4096x256,256,2.201000,15
blk.4.ffn_down_exps.weight,154,16188738304,4456448,2048x4096x256,256,2.200000,1
blk.7.ffn_up_exps.weight,17,28596440832,4456448,4096x2048x256,256,2.199000,10
blk.18.ffn_down_exps.weight,233,66694372608,4456448,2048x4096x256,256,2.196000,5
blk.18.ffn_up_exps.weight,36,68098153728,4456448,4096x2048x256,256,2.196000,5
blk.27.ffn_down_exps.weight,60,98154330880,4456448,2048x4096x256,256,2.195000,16
blk.18.ffn_down_exps.weight,161,66373508352,4456448,2048x4096x256,256,2.190000,2
blk.2.ffn_down_exps.weight,133,8927254784,4456448,2048x4096x256,256,2.188000,3
blk.2.ffn_down_exps.weight,157,9034209536,4456448,2048x4096x256,256,2.187000,2
blk.31.ffn_down_exps.weight,63,112497293056,4456448,2048x4096x256,256,2.185000,9
blk.0.ffn_up_exps.weight,158,4158020352,4456448,4096x2048x256,256,2.182000,4
blk.20.ffn_down_exps.weight,12,72874294016,4456448,2048x4096x256,256,2.182000,2
blk.6.ffn_down_exps.weight,91,23072778496,4456448,2048x4096x256,256,2.182000,5
blk.9.ffn_up_exps.weight,140,36309380352,4456448,4096x2048x256,256,2.180000,13
blk.9.ffn_up_exps.weight,128,36255902976,4456448,4096x2048x256,256,2.178000,7
blk.21.ffn_up_exps.weight,4,78692081920,4456448,4096x2048x256,256,2.176000,4
blk.2.ffn_down_exps.weight,69,8642042112,4456448,2048x4096x256,256,2.173000,2
blk.21.ffn_up_exps.weight,126,79235768576,4456448,4096x2048x256,256,2.173000,1
blk.20.ffn_down_exps.weight,95,73244179200,4456448,2048x4096x256,256,2.172000,2
blk.3.ffn_up_exps.weight,118,14716949248,4456448,4096x2048x256,256,2.170000,1
blk.3.ffn_up_exps.weight,220,15171506944,4456448,4096x2048x256,256,2.170000,1
blk.35.ffn_up_exps.weight,148,129487385344,4456448,4096x2048x256,256,2.170000,11
blk.4.ffn_up_exps.weight,15,17850993408,4456448,4096x2048x256,256,2.170000,1
blk.4.ffn_up_exps.weight,80,18140662528,4456448,4096x2048x256,256,2.170000,1
blk.4.ffn_up_exps.weight,82,18149575424,4456448,4096x2048x256,256,2.170000,1
blk.39.ffn_down_exps.weight,147,141530820352,4456448,2048x4096x256,256,2.169000,5
blk.4.ffn_up_exps.weight,126,18345659136,4456448,4096x2048x256,256,2.167000,4
blk.12.ffn_down_exps.weight,220,45142049536,4456448,2048x4096x256,256,2.166000,3
blk.14.ffn_up_exps.weight,104,54071599360,4456448,4096x2048x256,256,2.166000,5
blk.4.ffn_up_exps.weight,34,17935665920,4456448,4096x2048x256,256,2.164000,8
blk.2.ffn_down_exps.weight,148,8994101504,4456448,2048x4096x256,256,2.158000,3
blk.7.ffn_down_exps.weight,244,27326353152,4456448,2048x4096x256,256,2.157000,6
blk.19.ffn_up_exps.weight,212,72454226688,4456448,4096x2048x256,256,2.156000,5
blk.6.ffn_down_exps.weight,95,23090604288,4456448,2048x4096x256,256,2.156000,7
blk.18.ffn_down_exps.weight,173,66426985728,4456448,2048x4096x256,256,2.155000,3
blk.6.ffn_down_exps.weight,0,22667241728,4456448,2048x4096x256,256,2.155000,5
blk.24.ffn_down_exps.weight,228,88166479616,4456448,2048x4096x256,256,2.154000,5
blk.10.ffn_up_exps.weight,135,39880156416,4456448,4096x2048x256,256,2.151000,6
blk.31.ffn_down_exps.weight,58,112475010816,4456448,2048x4096x256,256,2.151000,3
blk.6.ffn_down_exps.weight,140,23291144448,4456448,2048x4096x256,256,2.151000,2
blk.12.ffn_down_exps.weight,109,44647383808,4456448,2048x4096x256,256,2.150000,1
blk.26.ffn_up_exps.weight,172,97363416320,4456448,4096x2048x256,256,2.143000,9
blk.2.ffn_down_exps.weight,232,9368443136,4456448,2048x4096x256,256,2.142000,3
blk.26.ffn_down_exps.weight,172,95081714944,4456448,2048x4096x256,256,2.142000,9
blk.29.ffn_down_exps.weight,188,105889552640,4456448,2048x4096x256,256,2.142000,6
blk.1.ffn_down_exps.weight,11,4787408128,4456448,2048x4096x256,256,2.140000,2
blk.11.ffn_down_exps.weight,70,40880524032,4456448,2048x4096x256,256,2.140000,6
blk.18.ffn_up_exps.weight,173,68708687104,4456448,4096x2048x256,256,2.140000,3
blk.1.ffn_down_exps.weight,72,5059251456,4456448,2048x4096x256,256,2.136000,2
blk.2.ffn_up_exps.weight,154,11302541568,4456448,4096x2048x256,256,2.135000,2
blk.1.ffn_down_exps.weight,208,5665328384,4456448,2048x4096x256,256,2.134000,2
blk.0.ffn_up_exps.weight,191,4305083136,4456448,4096x2048x256,256,2.133000,2
blk.0.ffn_up_exps.weight,222,4443233024,4456448,4096x2048x256,256,2.133000,3
blk.1.ffn_down_exps.weight,117,5259791616,4456448,2048x4096x256,256,2.133000,5
blk.34.ffn_up_exps.weight,178,126049340672,4456448,4096x2048x256,256,2.133000,7
blk.1.ffn_down_exps.weight,238,5799021824,4456448,2048x4096x256,256,2.131000,3
blk.7.ffn_down_exps.weight,230,27263962880,4456448,2048x4096x256,256,2.127000,5
