tensor	expert	fallback_ms	calls	expert_bytes
blk.10.ffn_down_exps.weight	33	10.717	12	4456448
blk.1.ffn_down_exps.weight	76	10.666	14	4456448
blk.5.ffn_down_exps.weight	250	10.662	23	4456448
blk.2.ffn_down_exps.weight	150	10.633	3	4456448
blk.4.ffn_down_exps.weight	146	10.567	16	4456448
blk.19.ffn_up_exps.weight	233	10.559	14	4456448
blk.15.ffn_down_exps.weight	206	10.549	15	4456448
blk.9.ffn_up_exps.weight	220	10.524	20	4456448
blk.8.ffn_up_exps.weight	115	10.516	35	4456448
blk.39.ffn_down_exps.weight	191	10.516	15	4456448
blk.34.ffn_down_exps.weight	254	10.501	40	4456448
blk.1.ffn_up_exps.weight	193	10.488	4	4456448
blk.9.ffn_up_exps.weight	4	10.481	14	4456448
blk.2.ffn_up_exps.weight	150	10.472	3	4456448
blk.21.ffn_up_exps.weight	13	10.453	15	4456448
blk.21.ffn_up_exps.weight	155	10.433	22	4456448
blk.2.ffn_down_exps.weight	235	10.418	9	4456448
blk.9.ffn_down_exps.weight	159	10.412	20	4456448
blk.1.ffn_up_exps.weight	115	10.398	3	4456448
blk.3.ffn_down_exps.weight	14	10.341	13	4456448
blk.19.ffn_down_exps.weight	253	10.338	5	4456448
blk.21.ffn_up_exps.weight	49	10.322	7	4456448
blk.6.ffn_up_exps.weight	113	10.322	18	4456448
blk.20.ffn_down_exps.weight	187	10.320	12	4456448
blk.5.ffn_up_exps.weight	172	10.259	20	4456448
blk.19.ffn_down_exps.weight	251	10.237	3	4456448
blk.27.ffn_down_exps.weight	39	10.216	3	4456448
blk.27.ffn_down_exps.weight	218	10.216	3	4456448
blk.1.ffn_down_exps.weight	212	10.212	7	4456448
blk.0.ffn_down_exps.weight	10	10.189	8	4456448
blk.10.ffn_down_exps.weight	138	10.180	14	4456448
blk.10.ffn_up_exps.weight	138	10.154	14	4456448
blk.0.ffn_up_exps.weight	10	10.139	8	4456448
blk.22.ffn_up_exps.weight	0	10.126	7	4456448
blk.22.ffn_up_exps.weight	125	10.111	26	4456448
blk.4.ffn_down_exps.weight	218	10.101	5	4456448
blk.37.ffn_down_exps.weight	11	10.061	15	4456448
blk.2.ffn_down_exps.weight	77	10.049	18	4456448
blk.1.ffn_up_exps.weight	220	10.024	6	4456448
blk.15.ffn_down_exps.weight	165	10.014	13	4456448
blk.8.ffn_up_exps.weight	179	9.987	13	4456448
blk.3.ffn_down_exps.weight	223	9.969	20	4456448
blk.21.ffn_up_exps.weight	9	9.965	17	4456448
blk.1.ffn_down_exps.weight	171	9.886	7	4456448
blk.39.ffn_up_exps.weight	163	9.885	26	4456448
blk.19.ffn_up_exps.weight	158	9.829	20	4456448
blk.0.ffn_down_exps.weight	80	9.773	3	4456448
blk.36.ffn_down_exps.weight	133	9.771	19	4456448
blk.21.ffn_up_exps.weight	62	9.726	5	4456448
blk.9.ffn_up_exps.weight	15	9.714	7	4456448
blk.21.ffn_up_exps.weight	236	9.694	33	4456448
blk.23.ffn_down_exps.weight	60	9.693	7	4456448
blk.3.ffn_up_exps.weight	228	9.659	32	4456448
blk.35.ffn_up_exps.weight	25	9.634	18	4456448
blk.15.ffn_up_exps.weight	100	9.613	7	4456448
blk.13.ffn_up_exps.weight	159	9.608	28	4456448
blk.2.ffn_down_exps.weight	194	9.602	3	4456448
blk.5.ffn_up_exps.weight	200	9.599	26	4456448
blk.1.ffn_up_exps.weight	35	9.587	2	4456448
blk.5.ffn_up_exps.weight	141	9.553	16	4456448
blk.36.ffn_down_exps.weight	188	9.511	14	4456448
blk.8.ffn_down_exps.weight	173	9.486	35	4456448
blk.4.ffn_up_exps.weight	188	9.461	16	4456448
blk.2.ffn_up_exps.weight	46	9.441	2	4456448
blk.2.ffn_up_exps.weight	94	9.441	2	4456448
blk.36.ffn_up_exps.weight	161	9.440	23	4456448
blk.7.ffn_up_exps.weight	112	9.385	25	4456448
blk.0.ffn_down_exps.weight	126	9.369	4	4456448
blk.34.ffn_down_exps.weight	239	9.355	38	4456448
blk.32.ffn_up_exps.weight	193	9.293	16	4456448
blk.6.ffn_down_exps.weight	113	9.275	18	4456448
blk.9.ffn_up_exps.weight	126	9.252	3	4456448
blk.7.ffn_down_exps.weight	112	9.252	25	4456448
blk.34.ffn_down_exps.weight	221	9.243	2	4456448
blk.35.ffn_up_exps.weight	177	9.242	7	4456448
blk.35.ffn_down_exps.weight	119	9.221	11	4456448
blk.2.ffn_down_exps.weight	125	9.217	19	4456448
blk.21.ffn_down_exps.weight	176	9.189	3	4456448
blk.1.ffn_up_exps.weight	169	9.188	8	4456448
blk.9.ffn_down_exps.weight	236	9.143	20	4456448
blk.0.ffn_up_exps.weight	107	9.139	21	4456448
blk.2.ffn_up_exps.weight	251	9.104	10	4456448
blk.2.ffn_down_exps.weight	50	9.077	5	4456448
blk.21.ffn_down_exps.weight	94	9.066	24	4456448
blk.0.ffn_down_exps.weight	107	9.053	21	4456448
blk.39.ffn_down_exps.weight	14	9.040	4	4456448
blk.16.ffn_down_exps.weight	162	9.032	5	4456448
blk.0.ffn_up_exps.weight	188	9.005	3	4456448
blk.0.ffn_up_exps.weight	52	8.999	9	4456448
blk.20.ffn_down_exps.weight	95	8.983	2	4456448
blk.11.ffn_down_exps.weight	81	8.971	37	4456448
blk.4.ffn_down_exps.weight	237	8.914	11	4456448
blk.0.ffn_down_exps.weight	9	8.899	3	4456448
blk.33.ffn_up_exps.weight	230	8.877	33	4456448
blk.24.ffn_down_exps.weight	209	8.868	11	4456448
blk.2.ffn_down_exps.weight	205	8.850	4	4456448
blk.4.ffn_down_exps.weight	57	8.843	11	4456448
blk.35.ffn_up_exps.weight	63	8.817	7	4456448
blk.17.ffn_up_exps.weight	173	8.809	6	4456448
blk.5.ffn_up_exps.weight	107	8.801	20	4456448
blk.4.ffn_up_exps.weight	115	8.795	13	4456448
blk.9.ffn_up_exps.weight	173	8.767	27	4456448
blk.29.ffn_down_exps.weight	238	8.764	7	4456448
blk.35.ffn_down_exps.weight	158	8.745	18	4456448
blk.25.ffn_down_exps.weight	122	8.720	10	4456448
blk.38.ffn_up_exps.weight	221	8.714	50	4456448
blk.12.ffn_up_exps.weight	142	8.694	7	4456448
blk.14.ffn_down_exps.weight	126	8.692	35	4456448
blk.10.ffn_up_exps.weight	45	8.678	12	4456448
blk.0.ffn_up_exps.weight	129	8.634	2	4456448
blk.9.ffn_down_exps.weight	209	8.631	8	4456448
blk.30.ffn_down_exps.weight	228	8.618	7	4456448
blk.39.ffn_up_exps.weight	73	8.595	10	4456448
blk.30.ffn_down_exps.weight	109	8.594	11	4456448
blk.39.ffn_down_exps.weight	60	8.582	9	4456448
blk.20.ffn_up_exps.weight	105	8.581	16	4456448
blk.10.ffn_up_exps.weight	23	8.567	15	4456448
blk.2.ffn_down_exps.weight	56	8.561	3	4456448
blk.39.ffn_down_exps.weight	7	8.558	16	4456448
blk.20.ffn_down_exps.weight	61	8.547	11	4456448
blk.5.ffn_down_exps.weight	172	8.537	20	4456448
blk.30.ffn_down_exps.weight	173	8.527	6	4456448
blk.1.ffn_up_exps.weight	48	8.518	7	4456448
blk.7.ffn_up_exps.weight	221	8.504	4	4456448
blk.10.ffn_up_exps.weight	41	8.494	6	4456448
blk.4.ffn_down_exps.weight	227	8.488	9	4456448
blk.38.ffn_down_exps.weight	151	8.484	40	4456448
blk.24.ffn_up_exps.weight	209	8.463	11	4456448
blk.2.ffn_up_exps.weight	37	8.450	12	4456448
blk.8.ffn_up_exps.weight	173	8.446	35	4456448
blk.14.ffn_down_exps.weight	208	8.415	37	4456448
blk.31.ffn_up_exps.weight	211	8.407	25	4456448
