layer,kind,events,traffic_gib,unique_keys,prompt_count,proxy_hot_keys,proxy_hit_traffic_pct,next64_gain_gib,next64_gain_per_slot_mib,next64_avg_prompt_coverage,remove64_cost_gib,remove64_cost_per_slot_mib,remove64_avg_prompt_coverage
11,upgate,7808,34.193359375,652,7,22,25.87090163934426,7.908966064453125,126.54345703125,4.515625,8.84613037109375,411.74715909090907,4.636363636363637
12,down,3904,22.9345703125,326,7,14,21.49077868852459,9.088058471679688,145.408935546875,4.390625,4.9288177490234375,360.5078125,4.428571428571429
12,upgate,7808,34.193359375,652,7,28,21.49077868852459,8.32061767578125,133.1298828125,4.6875,7.348419189453125,268.7421875,4.428571428571429
13,down,3904,22.9345703125,306,7,16,37.14139344262295,7.836761474609375,125.38818359375,4.28125,8.518218994140625,545.166015625,4.3125
13,upgate,7808,34.193359375,612,7,32,37.14139344262295,7.208282470703125,115.33251953125,4.265625,12.69989013671875,406.396484375,4.3125
14,down,3904,22.9345703125,323,7,15,33.22233606557377,8.089370727539062,129.429931640625,4.296875,7.6194000244140625,520.1510416666666,4.466666666666667
14,upgate,7808,37.529296875,646,7,31,33.857297358834245,8.273834228515625,132.38134765625,3.796875,12.706405639648438,419.7212701612903,4.483870967741935
15,upgate,7808,34.193359375,628,7,28,26.741803278688526,8.522064208984375,136.35302734375,4.125,9.1439208984375,334.40625,5.0
16,down,3904,28.35546875,321,7,17,30.50717213114754,10.58245849609375,169.3193359375,4.1875,8.65045166015625,521.0625,5.0
16,upgate,7808,34.193359375,642,7,28,27.049180327868854,8.399444580078125,134.39111328125,4.3125,9.2490234375,338.25,5.142857142857143
17,down,3904,22.9345703125,314,7,14,26.075819672131146,9.37591552734375,150.0146484375,4.46875,5.980377197265625,437.421875,4.142857142857143
17,upgate,7808,34.193359375,628,7,28,26.075819672131146,8.662200927734375,138.59521484375,4.46875,8.91619873046875,326.078125,4.142857142857143
18,upgate,7808,34.193359375,638,7,28,27.817622950819672,8.837371826171875,141.39794921875,4.125,9.51177978515625,347.859375,5.0
19,down,3904,28.35546875,323,7,21,34.73360655737705,10.01593017578125,160.2548828125,4.421875,9.848876953125,480.25,4.761904761904762
19,upgate,7808,34.193359375,646,7,30,28.790983606557376,8.416961669921875,134.67138671875,4.71875,9.8446044921875,336.02916666666664,4.466666666666667
20,down,3904,28.35546875,314,7,21,33.99077868852459,10.00140380859375,160.0224609375,4.703125,9.63824462890625,469.9791666666667,5.380952380952381
20,upgate,7808,34.193359375,628,7,32,28.714139344262296,8.4432373046875,135.091796875,5.0,9.818328857421875,314.1865234375,5.5
21,down,3904,28.35546875,310,7,21,40.625,9.23150634765625,147.7041015625,4.0625,11.5194091796875,561.7083333333334,5.0476190476190474
21,upgate,7808,34.193359375,620,7,32,35.19467213114754,8.057861328125,128.92578125,4.515625,12.03424072265625,385.095703125,5.0625
22,down,3904,28.35546875,313,7,31,45.85040983606557,8.65771484375,138.5234375,4.578125,13.0010986328125,429.4556451612903,5.193548387096774
22,upgate,7808,34.193359375,626,7,24,25.665983606557376,10.159912109375,162.55859375,5.234375,8.77606201171875,374.4453125,5.083333333333333
23,down,3904,28.35546875,305,7,19,36.654713114754095,10.04498291015625,160.7197265625,4.46875,10.39361572265625,560.1611842105264,5.315789473684211
23,upgate,7808,34.193359375,610,7,28,31.480532786885245,8.434478759765625,134.95166015625,4.65625,10.764251708984375,393.6640625,5.357142857142857
24,down,3904,28.35546875,316,7,23,36.85963114754098,9.5438232421875,152.701171875,4.40625,10.45172119140625,465.32880434782606,4.6521739130434785
24,upgate,7808,34.193359375,632,7,28,27.66393442622951,8.924957275390625,142.79931640625,4.796875,9.459228515625,345.9375,4.571428571428571
25,down,3904,28.35546875,308,7,15,23.668032786885245,11.30877685546875,180.9404296875,4.828125,6.711181640625,458.15,5.2
25,upgate,7808,34.193359375,616,7,18,16.931352459016395,9.117645263671875,145.88232421875,5.0625,5.789398193359375,329.35243055555554,5.0
26,down,3904,28.35546875,323,7,19,34.65676229508197,9.72540283203125,155.6064453125,4.203125,9.82708740234375,529.6282894736842,4.7894736842105265
