layer,kind,top_k,calls,actual_events,actual_gib,byte_recall,precision,predicted_to_actual_byte_ratio,false_to_actual_byte_ratio,extra_to_actual_byte_ratio
16,upgate,8,976,7808,34.193359375,0.12730532786885246,0.12730532786885246,1.0,0.8726946721311475,0.0
16,upgate,10,976,7808,34.193359375,0.1411372950819672,0.11290983606557377,1.25,1.1088627049180328,0.25
16,upgate,12,976,7808,34.193359375,0.1762295081967213,0.11748633879781421,1.5,1.3237704918032787,0.5
16,upgate,16,976,7808,34.193359375,0.22720286885245902,0.11360143442622951,2.0,1.772797131147541,1.0
17,down,8,488,3904,22.9345703125,0.11501024590163934,0.11501024590163934,1.0,0.8849897540983607,0.0
17,down,10,488,3904,22.9345703125,0.14779713114754098,0.11823770491803279,1.25,1.102202868852459,0.25
17,down,12,488,3904,22.9345703125,0.16290983606557377,0.10860655737704918,1.5,1.3370901639344261,0.5
17,down,16,488,3904,22.9345703125,0.1882684426229508,0.0941342213114754,2.0,1.8117315573770492,1.0
17,upgate,8,976,7808,34.193359375,0.11501024590163934,0.11501024590163934,1.0,0.8849897540983607,0.0
17,upgate,10,976,7808,34.193359375,0.14779713114754098,0.11823770491803279,1.25,1.102202868852459,0.25
17,upgate,12,976,7808,34.193359375,0.16290983606557377,0.10860655737704918,1.5,1.3370901639344261,0.5
17,upgate,16,976,7808,34.193359375,0.1882684426229508,0.0941342213114754,2.0,1.8117315573770492,1.0
18,upgate,8,976,7808,34.193359375,0.15368852459016394,0.15368852459016394,1.0,0.8463114754098361,0.0
18,upgate,10,976,7808,34.193359375,0.16572745901639344,0.13258196721311474,1.25,1.0842725409836065,0.25
18,upgate,12,976,7808,34.193359375,0.1723872950819672,0.11492486338797814,1.5,1.3276127049180328,0.5
18,upgate,16,976,7808,34.193359375,0.2041495901639344,0.1020747950819672,2.0,1.7958504098360655,1.0
19,down,8,488,3904,28.35546875,0.09375,0.09375,1.0,0.90625,0.0
19,down,10,488,3904,28.35546875,0.13063524590163936,0.10450819672131148,1.25,1.1193647540983607,0.25
19,down,12,488,3904,28.35546875,0.17341188524590165,0.11560792349726776,1.5,1.3265881147540983,0.5
19,down,16,488,3904,28.35546875,0.20466188524590165,0.10233094262295082,2.0,1.7953381147540983,1.0
19,upgate,8,976,7808,34.193359375,0.09375,0.09375,1.0,0.90625,0.0
19,upgate,10,976,7808,34.193359375,0.13063524590163936,0.10450819672131148,1.25,1.1193647540983607,0.25
19,upgate,12,976,7808,34.193359375,0.17341188524590165,0.11560792349726776,1.5,1.3265881147540983,0.5
19,upgate,16,976,7808,34.193359375,0.20466188524590165,0.10233094262295082,2.0,1.7953381147540983,1.0
20,down,8,488,3904,28.35546875,0.11654713114754098,0.11654713114754098,1.0,0.883452868852459,0.0
20,down,10,488,3904,28.35546875,0.14395491803278687,0.1151639344262295,1.25,1.1060450819672132,0.25
20,down,12,488,3904,28.35546875,0.15496926229508196,0.10331284153005464,1.5,1.345030737704918,0.5
20,down,16,488,3904,28.35546875,0.20466188524590165,0.10233094262295082,2.0,1.7953381147540983,1.0
20,upgate,8,976,7808,34.193359375,0.11654713114754098,0.11654713114754098,1.0,0.883452868852459,0.0
20,upgate,10,976,7808,34.193359375,0.14395491803278687,0.1151639344262295,1.25,1.1060450819672132,0.25
20,upgate,12,976,7808,34.193359375,0.15496926229508196,0.10331284153005464,1.5,1.345030737704918,0.5
20,upgate,16,976,7808,34.193359375,0.20466188524590165,0.10233094262295082,2.0,1.7953381147540983,1.0
21,down,8,488,3904,28.35546875,0.1990266393442623,0.1990266393442623,1.0,0.8009733606557377,0.0
21,down,10,488,3904,28.35546875,0.2192622950819672,0.17540983606557378,1.25,1.0307377049180328,0.25
21,down,12,488,3904,28.35546875,0.2520491803278688,0.1680327868852459,1.5,1.2479508196721312,0.5
21,down,16,488,3904,28.35546875,0.28355532786885246,0.14177766393442623,2.0,1.7164446721311475,1.0
21,upgate,8,976,7808,34.193359375,0.1990266393442623,0.1990266393442623,1.0,0.8009733606557377,0.0
21,upgate,10,976,7808,34.193359375,0.2192622950819672,0.17540983606557378,1.25,1.0307377049180328,0.25
21,upgate,12,976,7808,34.193359375,0.2520491803278688,0.1680327868852459,1.5,1.2479508196721312,0.5
21,upgate,16,976,7808,34.193359375,0.28355532786885246,0.14177766393442623,2.0,1.7164446721311475,1.0
22,down,8,488,3904,28.35546875,0.11244877049180328,0.11244877049180328,1.0,0.8875512295081968,0.0
22,down,10,488,3904,28.35546875,0.14984631147540983,0.11987704918032786,1.25,1.1001536885245902,0.25
22,down,12,488,3904,28.35546875,0.16726434426229508,0.11150956284153006,1.5,1.332735655737705,0.5
22,down,16,488,3904,28.35546875,0.1864754098360656,0.0932377049180328,2.0,1.8135245901639345,1.0
