depth,mode,kind,layer,tensor,calls,transitions,actual_events,covered_events,actual_bytes,covered_bytes,false_bytes,event_coverage,byte_coverage,false_prefetch_ratio,net_byte_multiplier,exact_repeat_rate,avg_jaccard
1,decode,up,36,blk.36.ffn_up_exps.weight,31,30,240,84,1128529920,394985472,733544448,0.35,0.35,0.65,1.65,0.0,0.24168572168572167
1,decode,gate,36,blk.36.ffn_gate_exps.weight,31,30,240,84,1348730880,472055808,876675072,0.35,0.35,0.65,1.65,0.0,0.24168572168572167
1,decode,down,36,blk.36.ffn_down_exps.weight,31,30,240,84,1513881600,529858560,984023040,0.35,0.35,0.65,1.65,0.0,0.24168572168572167
1,decode,up,37,blk.37.ffn_up_exps.weight,31,30,240,109,1128529920,512540672,615989248,0.45416666666666666,0.45416666666666666,0.5458333333333333,1.5458333333333334,0.0,0.31442335442335445
1,decode,gate,37,blk.37.ffn_gate_exps.weight,31,30,240,109,1348730880,612548608,736182272,0.45416666666666666,0.45416666666666666,0.5458333333333333,1.5458333333333334,0.0,0.31442335442335445
1,decode,down,37,blk.37.ffn_down_exps.weight,31,30,240,109,1513881600,687554560,826327040,0.45416666666666666,0.45416666666666666,0.5458333333333333,1.5458333333333334,0.0,0.31442335442335445
1,decode,up,38,blk.38.ffn_up_exps.weight,31,30,240,103,1128529920,484327424,644202496,0.42916666666666664,0.42916666666666664,0.5708333333333333,1.5708333333333333,0.0,0.28725348725348726
1,decode,gate,38,blk.38.ffn_gate_exps.weight,31,30,240,103,1348730880,578830336,769900544,0.42916666666666664,0.42916666666666664,0.5708333333333333,1.5708333333333333,0.0,0.28725348725348726
1,decode,down,38,blk.38.ffn_down_exps.weight,31,30,240,103,1513881600,649707520,864174080,0.42916666666666664,0.42916666666666664,0.5708333333333333,1.5708333333333333,0.0,0.28725348725348726
1,decode,up,39,blk.39.ffn_up_exps.weight,31,30,240,110,1128529920,517242880,611287040,0.4583333333333333,0.4583333333333333,0.5416666666666666,1.5416666666666667,0.0,0.3159551559551559
1,decode,gate,39,blk.39.ffn_gate_exps.weight,31,30,240,110,1348730880,618168320,730562560,0.4583333333333333,0.4583333333333333,0.5416666666666666,1.5416666666666667,0.0,0.3159551559551559
1,decode,down,39,blk.39.ffn_down_exps.weight,31,30,240,110,1513881600,693862400,820019200,0.4583333333333333,0.4583333333333333,0.5416666666666666,1.5416666666666667,0.0,0.3159551559551559
1,decode,up,40,blk.40.ffn_up_exps.weight,31,30,240,116,1128529920,545456128,583073792,0.48333333333333334,0.48333333333333334,0.5166666666666667,1.5166666666666666,0.0,0.34225626225626216
1,decode,gate,40,blk.40.ffn_gate_exps.weight,31,30,240,116,1348730880,651886592,696844288,0.48333333333333334,0.48333333333333334,0.5166666666666667,1.5166666666666666,0.0,0.34225626225626216
1,decode,down,40,blk.40.ffn_down_exps.weight,31,30,240,116,1513881600,731709440,782172160,0.48333333333333334,0.48333333333333334,0.5166666666666667,1.5166666666666666,0.0,0.34225626225626216
1,decode,up,41,blk.41.ffn_up_exps.weight,31,30,240,123,1128529920,578371584,550158336,0.5125,0.5125,0.4875,1.4875,0.0,0.3583867983867984
1,decode,gate,41,blk.41.ffn_gate_exps.weight,31,30,240,123,1348730880,691224576,657506304,0.5125,0.5125,0.4875,1.4875,0.0,0.3583867983867984
1,decode,down,41,blk.41.ffn_down_exps.weight,31,30,240,123,1513881600,775864320,738017280,0.5125,0.5125,0.4875,1.4875,0.0,0.3583867983867984
1,decode,up,42,blk.42.ffn_up_exps.weight,31,30,240,116,1128529920,545456128,583073792,0.48333333333333334,0.48333333333333334,0.5166666666666667,1.5166666666666666,0.0,0.33289229289229294
1,decode,gate,42,blk.42.ffn_gate_exps.weight,31,30,240,116,1348730880,651886592,696844288,0.48333333333333334,0.48333333333333334,0.5166666666666667,1.5166666666666666,0.0,0.33289229289229294
1,decode,down,42,blk.42.ffn_down_exps.weight,31,30,240,116,1513881600,731709440,782172160,0.48333333333333334,0.48333333333333334,0.5166666666666667,1.5166666666666666,0.0,0.33289229289229294
1,decode,up,43,blk.43.ffn_up_exps.weight,31,30,240,117,1128529920,550158336,578371584,0.4875,0.4875,0.5125,1.5125,0.0,0.3363110963110962
1,decode,gate,43,blk.43.ffn_gate_exps.weight,31,30,240,117,1348730880,657506304,691224576,0.4875,0.4875,0.5125,1.5125,0.0,0.3363110963110962
1,decode,down,43,blk.43.ffn_down_exps.weight,31,30,240,117,1513881600,738017280,775864320,0.4875,0.4875,0.5125,1.5125,0.0,0.3363110963110962
1,decode,up,44,blk.44.ffn_up_exps.weight,31,30,240,122,1128529920,573669376,554860544,0.5083333333333333,0.5083333333333333,0.49166666666666664,1.4916666666666667,0.0,0.3608643208643207
1,decode,gate,44,blk.44.ffn_gate_exps.weight,31,30,240,122,1348730880,685604864,663126016,0.5083333333333333,0.5083333333333333,0.49166666666666664,1.4916666666666667,0.0,0.3608643208643207
1,decode,down,44,blk.44.ffn_down_exps.weight,31,30,240,122,1513881600,769556480,744325120,0.5083333333333333,0.5083333333333333,0.49166666666666664,1.4916666666666667,0.0,0.3608643208643207
1,decode,up,45,blk.45.ffn_up_exps.weight,31,30,240,129,1128529920,606584832,521945088,0.5375,0.5375,0.4625,1.4625,0.0,0.3834373034373033
1,decode,gate,45,blk.45.ffn_gate_exps.weight,31,30,240,129,1348730880,724942848,623788032,0.5375,0.5375,0.4625,1.4625,0.0,0.3834373034373033
