seq,layer,row,rank,expert_idx,weight,sort_score,logit,bias,topk_tensor,weights_tensor
120,3,14,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
121,3,15,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
122,3,15,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
123,3,15,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
124,3,15,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
125,3,15,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
126,3,15,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
127,3,15,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
128,3,15,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
129,3,16,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
130,3,16,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
131,3,16,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
132,3,16,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
133,3,16,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
134,3,16,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
135,3,16,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
136,3,16,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
137,4,0,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
138,4,0,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
139,4,0,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
140,4,0,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
141,4,0,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
142,4,0,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
143,4,0,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
144,4,0,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
145,4,1,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
146,4,1,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
147,4,1,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
148,4,1,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
149,4,1,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
150,4,1,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
151,4,1,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
152,4,1,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
