scope,key,threshold,rows,skip_block_ratio,skip_value_ratio,mean_l2_abs,mean_l2_rel,max_l2_rel,max_abs_err,mean_abs_err,mean_exact_l2
layer_expert,11:111:blk.11.ffn_down_exps.weight,0.1,1,0.90625,0.90625,0.704168878,0.846868774,0.846868774,0.0290922122,0.00661647553,0.831497038
layer_expert,11:112:blk.11.ffn_down_exps.weight,0.1,2,1.0,1.0,0.6784140885000001,1.0,1.0,0.0328777619,0.006397550795,0.6784140885000001
layer_expert,11:118:blk.11.ffn_down_exps.weight,0.1,2,0.953125,0.953125,0.9270433105,0.9254088255,0.974150551,0.0422674096,0.00875804629,1.005132909
layer_expert,11:119:blk.11.ffn_down_exps.weight,0.1,1,1.0,1.0,0.303180557,1.0,1.0,0.0158897415,0.00284989011,0.303180557
layer_expert,11:123:blk.11.ffn_down_exps.weight,0.1,16,0.771484375,0.771484375,0.9542827790625,0.7244914667500001,1.0,0.0544229317,0.008988975860625,1.4031786942500002
layer_expert,11:125:blk.11.ffn_down_exps.weight,0.1,1,1.0,1.0,0.714397695,1.0,1.0,0.0325354449,0.00671810196,0.714397695
layer_expert,11:126:blk.11.ffn_down_exps.weight,0.1,3,0.84375,0.84375,0.9687024816666666,0.853945355,0.902254582,0.0516309398,0.009136799986666666,1.13025408
layer_expert,11:127:blk.11.ffn_down_exps.weight,0.1,6,0.6927083333333334,0.6927083333333334,0.8486428201666668,0.7066280423333334,1.0,0.0431899,0.008021245375000001,1.3981847126666667
layer_expert,11:128:blk.11.ffn_down_exps.weight,0.1,2,0.828125,0.828125,0.7530454275,0.7895492625,0.923802932,0.0423533423,0.0071122897599999995,1.011407099
layer_expert,11:129:blk.11.ffn_down_exps.weight,0.1,1,1.0,1.0,0.647432512,1.0,1.0,0.0256958958,0.00609136965,0.647432512
layer_expert,11:132:blk.11.ffn_down_exps.weight,0.1,2,0.859375,0.859375,1.0447888349999999,0.866406067,0.942881229,0.0484531699,0.009856519085,1.21816303
layer_expert,11:133:blk.11.ffn_down_exps.weight,0.1,4,0.9609375,0.9609375,0.828574472,0.94973418275,1.0,0.0464583933,0.0078107622075,0.87255158125
layer_expert,11:134:blk.11.ffn_down_exps.weight,0.1,1,0.9375,0.9375,0.751474395,0.902131133,0.902131133,0.0479937149,0.00704864659,0.83299907
layer_expert,11:135:blk.11.ffn_down_exps.weight,0.1,3,0.8854166666666666,0.8854166666666666,0.9344027483333334,0.8238486956666667,0.950469489,0.0486783456,0.00882263623,1.1914408086666666
layer_expert,11:136:blk.11.ffn_down_exps.weight,0.1,2,0.96875,0.96875,0.984447133,0.9715669444999999,0.975722451,0.0535290278,0.009224506745,1.0138211715
layer_expert,11:137:blk.11.ffn_down_exps.weight,0.1,2,0.984375,0.984375,0.6100591625,0.9739137314999999,1.0,0.029376959,0.00576139129,0.6271154285
