prompt,path,window_size,history_depth,trace_events,windows_evaluated,actual_bytes,covered_bytes,false_bytes,byte_coverage,event_coverage,false_prefetch_ratio,net_byte_multiplier,avg_predicted_unique,avg_actual_unique
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,2048,2,130120,63,713822699520,335372484608,786049990656,0.46982602939569795,0.4703760384783559,1.1011837970192995,2.1011837970192992,3026.6031746031745,1812.2222222222222
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/route-trace.csv,2048,4,130120,63,713822699520,388106944512,1403837661184,0.5437021612971639,0.544240739583984,1.966647547252267,2.966647547252267,4923.936507936508,1812.2222222222222
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/route-trace.csv,256,1,131504,513,731503001600,0,731876425728,0.0,0.0,1.0005104888526544,2.000510488852654,256.0,255.84405458089668
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/route-trace.csv,256,2,131504,513,731503001600,0,1462339895296,0.0,0.0,1.9990893982628328,2.9990893982628326,511.5009746588694,255.84405458089668
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/route-trace.csv,256,4,131504,513,731503001600,0,2918969245696,0.0,0.0,3.990372205324386,4.990372205324387,1021.0058479532164,255.84405458089668
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/route-trace.csv,512,1,131504,256,730116653056,0,730463469568,0.0,0.0,1.0004750152055133,2.000475015205513,512.0,511.6875
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/route-trace.csv,512,2,131504,256,730116653056,66129559552,1391925592064,0.09057396414012195,0.09083760840356662,1.906442739304618,2.906442739304618,1022.0,511.6875
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/route-trace.csv,512,4,131504,256,730116653056,223948505088,2392397758464,0.3067297590742984,0.3076829119335532,3.276733585585676,4.276733585585676,1833.23828125,511.6875
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/route-trace.csv,1024,1,131504,128,727254040576,144657006592,585806462976,0.1989084948602399,0.19965511955855303,0.8055045833943106,1.8055045833943106,1024.0,1019.375
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/route-trace.csv,1024,2,131504,128,727254040576,236152799232,1074610274304,0.3247184423271986,0.3256897608828939,1.47762709362589,2.47762709362589,1836.7109375,1019.375
