call,seq_id,pos,n_tokens,n_seq_tokens,source_layer,target_layer,kind,topk,ne0,ne1,record_us,values
3,0,20,1,1,25,25,actual,8,8,1,1181,191|52|131|185|377|230|134|283
3,0,20,1,1,26,27,pred,4,4,1,1181,280|39|245|194
3,0,20,1,1,26,26,actual,8,8,1,1181,176|66|355|369|119|334|134|223
3,0,20,1,1,27,28,pred,4,4,1,1181,213|26|111|361
3,0,20,1,1,27,27,actual,8,8,1,1181,280|39|245|336|16|194|250|64
3,0,20,1,1,28,29,pred,4,4,1,1181,242|200|68|126
3,0,20,1,1,28,28,actual,8,8,1,1181,213|138|111|241|61|361|217|208
3,0,20,1,1,29,30,pred,4,4,1,1181,204|340|309|29
3,0,20,1,1,29,29,actual,8,8,1,1181,242|200|68|126|205|367|226|84
3,0,20,1,1,30,31,pred,4,4,1,1181,156|371|222|91
3,0,20,1,1,30,30,actual,8,8,1,1181,204|340|309|29|246|170|42|77
3,0,20,1,1,31,32,pred,4,4,1,1181,37|92|112|321
3,0,20,1,1,31,31,actual,8,8,1,1181,156|371|91|222|160|352|42|174
3,0,20,1,1,32,33,pred,4,4,1,1181,133|277|264|207
3,0,20,1,1,32,32,actual,8,8,1,1181,37|354|308|92|321|112|256|322
3,0,20,1,1,33,34,pred,4,4,1,1181,339|33|123|378
3,0,20,1,1,33,33,actual,8,8,1,1181,133|277|14|130|287|331|264|207
3,0,20,1,1,34,35,pred,4,4,1,1181,34|265|380|96
3,0,20,1,1,34,34,actual,8,8,1,1181,339|33|175|246|123|97|378|220
3,0,20,1,1,35,36,pred,4,4,1,1181,9|47|8|331
3,0,20,1,1,35,35,actual,8,8,1,1181,34|380|265|54|182|330|96|183
3,0,20,1,1,36,37,pred,4,4,1,1181,12|111|55|357
3,0,20,1,1,36,36,actual,8,8,1,1181,9|47|8|117|331|195|205|262
3,0,20,1,1,37,38,pred,4,4,1,1181,32|56|193|138
3,0,20,1,1,37,37,actual,8,8,1,1181,12|111|55|357|333|119|114|22
3,0,20,1,1,38,39,pred,4,4,1,1181,378|121|136|348
3,0,20,1,1,38,38,actual,8,8,1,1181,32|56|138|263|193|53|246|76
3,0,20,1,1,39,40,pred,4,4,1,1181,48|156|306|339
3,0,20,1,1,39,39,actual,8,8,1,1181,378|136|121|348|148|344|187|269
3,0,20,1,1,40,41,pred,4,4,1,1181,179|27|61|5
3,0,20,1,1,40,40,actual,8,8,1,1181,48|156|339|306|182|124|248|57
3,0,20,1,1,41,42,pred,4,4,1,1181,345|368|304|270
3,0,20,1,1,41,41,actual,8,8,1,1181,179|27|61|5|112|140|64|9
3,0,20,1,1,42,43,pred,4,4,1,1181,230|259|194|52
3,0,20,1,1,42,42,actual,8,8,1,1181,345|368|304|270|314|285|87|110
3,0,20,1,1,43,44,pred,4,4,1,1181,7|81|296|361
3,0,20,1,1,43,43,actual,8,8,1,1181,230|259|194|203|52|54|59|340
3,0,20,1,1,44,45,pred,4,4,1,1181,114|39|26|75
3,0,20,1,1,44,44,actual,8,8,1,1181,7|81|296|279|223|361|45|195
3,0,20,1,1,45,46,pred,4,4,1,1181,176|270|31|312
3,0,20,1,1,45,45,actual,8,8,1,1181,114|39|26|177|75|259|73|69
3,0,20,1,1,46,47,pred,4,4,1,1181,121|217|63|303
3,0,20,1,1,46,46,actual,8,8,1,1181,176|270|31|163|312|197|229|186
3,0,20,1,1,47,48,pred,4,4,1,1181,21|264|314|333
3,0,20,1,1,47,47,actual,8,8,1,1181,121|217|207|381|63|303|66|281
3,0,20,1,1,48,49,pred,4,4,1,1181,102|32|49|357
3,0,20,1,1,48,48,actual,8,8,1,1181,21|314|264|40|333|180|256|304
